Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
5,h,1205000,27/05/2017,15.4,3131,3,2.0,477,,
4,h,921000,26/07/2016,14.6,3189,1,2.0,592,,
3,h,830000,3/9/17,11.2,3046,1,2.0,655,110.0,1960.0
2,u,655000,15/07/2017,14.5,3087,1,1.0,298,98.0,1975.0
2,u,535000,18/06/2016,12.2,3147,1,1.0,72,,
3,h,1100000,15/07/2017,5.3,3122,2,1.0,109,109.5,1999.0
3,u,850000,17/06/2017,14.3,3109,2,1.0,236,145.0,1980.0
2,u,756000,15/10/2016,11.2,3186,1,1.0,0,80.0,1920.0
1,u,499000,28/05/2016,4.6,3122,1,1.0,0,56.0,1960.0
3,h,1635000,3/9/16,11.2,3186,1,2.0,366,156.0,1920.0
3,h,960000,3/9/16,13.8,3084,2,2.0,656,183.0,1990.0
2,h,903000,22/04/2017,4.2,3031,1,0.0,184,,
4,h,975000,15/10/2016,4.2,3031,3,1.0,0,,
2,u,690000,23/04/2016,1.2,3006,3,1.0,0,,2013.0
3,u,1602000,10/12/16,11.2,3186,2,2.0,328,,
3,h,1600000,3/12/16,2.6,3121,2,1.0,115,,
4,h,810000,10/9/16,8.8,3072,2,2.0,1034,151.0,1950.0
3,h,1417250,4/2/16,14.6,3189,2,2.0,653,180.0,1950.0
2,u,797000,24/06/2017,5.4,3101,1,2.0,964,,1960.0
1,u,523000,17/09/2016,3.3,3141,1,0.0,0,,1940.0
3,t,1762000,17/09/2016,11.2,3186,2,2.0,483,,
2,u,690000,14/05/2016,12.2,3147,1,1.0,216,90.0,2003.0
3,t,1110000,3/9/16,11.2,3127,2,2.0,401,129.0,1970.0
2,h,1270000,17/06/2017,3.6,3068,1,0.0,183,,1890.0
4,t,1465000,18/06/2016,13.9,3165,2,2.0,319,256.0,2015.0
3,h,1911000,4/3/17,7.7,3184,1,2.0,327,,1900.0
2,u,892500,7/5/16,11.2,3186,1,2.0,232,92.0,1970.0
2,u,625000,3/6/17,3.5,3207,1,1.0,6830,,
2,u,606000,12/11/16,8.0,3040,1,2.0,0,93.0,1972.0
5,h,1116500,15/07/2017,16.7,3150,2,2.0,701,182.85,1960.0
2,h,1601000,15/07/2017,7.8,3079,1,2.0,697,,
4,h,1515000,8/4/17,6.9,3039,2,3.0,574,203.0,1910.0
4,h,2408000,27/05/2017,8.4,3126,2,2.0,654,221.0,1945.0
4,h,1670000,17/09/2016,13.1,3128,4,4.0,707,162.0,1926.0
1,u,455500,24/09/2016,3.8,3207,1,1.0,0,,2002.0
2,u,902000,27/05/2017,7.2,3184,1,0.0,702,86.0,1940.0
2,u,316000,27/06/2016,6.4,3011,1,1.0,0,55.0,1960.0
2,u,546000,8/4/17,8.9,3016,1,1.0,2023,,1979.0
1,u,365000,10/12/16,6.5,3071,1,1.0,0,40.0,1970.0
4,h,1500000,12/8/17,7.5,3040,2,2.0,465,148.0,1940.0
3,u,501000,12/11/16,14.5,3042,1,1.0,255,132.0,1991.0
3,h,850000,13/08/2016,7.0,3013,1,1.0,444,,
2,u,479000,4/3/17,2.6,3121,1,1.0,0,62.0,1970.0
4,h,1387000,24/06/2017,14.2,3149,2,4.0,691,,
3,u,930000,24/06/2017,7.5,3040,2,1.0,223,146.0,2002.0
2,u,620000,28/05/2016,1.9,3003,1,1.0,0,83.0,2002.0
3,h,980000,8/10/16,12.4,3083,1,1.0,907,165.0,1960.0
4,h,1175000,17/06/2017,21.3,3135,2,1.0,842,135.0,1960.0
3,t,1215000,29/07/2017,17.3,3193,2,2.0,314,,
2,u,715000,26/07/2016,1.6,3065,1,1.0,0,74.0,1900.0
3,h,935000,15/10/2016,9.2,3012,1,2.0,485,,
4,t,1202000,17/06/2017,12.4,3108,3,0.0,403,,
2,u,465000,13/08/2016,13.1,3128,2,1.0,0,65.0,2010.0
3,h,1165000,12/11/16,13.9,3165,1,1.0,732,,
2,u,867000,8/4/17,4.6,3142,1,1.0,1087,,
3,h,475000,29/07/2017,31.7,3429,1,4.0,754,131.0,1985.0
2,u,872000,28/05/2016,1.5,3002,0,0.0,0,,
3,h,485000,12/11/16,13.5,3020,4,2.0,482,166.0,1955.0
2,u,503000,10/12/16,5.3,3032,1,1.0,0,,1960.0
3,u,700000,18/06/2016,11.2,3042,1,1.0,202,,
3,h,1450000,20/05/2017,5.2,3056,1,2.0,304,,
1,u,324000,16/04/2016,6.3,3143,1,1.0,0,,
3,h,1631000,15/10/2016,12.2,3147,2,3.0,782,215.0,1950.0
3,u,815000,30/07/2016,11.2,3042,2,2.0,203,,
2,u,812000,4/3/17,9.7,3103,1,1.0,206,,
2,u,820000,3/9/17,6.3,3143,1,1.0,1501,,
2,h,550000,4/3/17,7.8,3058,1,1.0,0,,
2,t,600000,4/3/17,9.2,3058,1,1.0,145,105.0,2010.0
2,u,582500,8/10/16,7.7,3184,1,1.0,0,,
3,h,1090000,27/11/2016,12.1,3163,2,2.0,553,138.0,1960.0
3,h,2360000,18/03/2017,6.3,3143,2,0.0,336,,
2,u,460000,27/05/2017,5.2,3055,1,1.0,54,60.0,1970.0
3,u,850000,3/6/17,10.4,3042,2,1.0,307,,
5,h,605000,10/12/16,13.3,3020,2,2.0,661,133.0,1960.0
4,h,1900000,8/7/17,11.4,3204,2,2.0,700,210.0,1920.0
4,h,1615000,8/4/17,14.0,3166,2,2.0,537,199.0,1920.0
3,h,855000,6/8/16,7.7,3015,1,1.0,326,112.0,1991.0
3,t,917500,20/05/2017,4.2,3031,1,1.0,98,101.0,1997.0
3,h,775000,25/02/2017,7.7,3015,1,1.0,435,,
3,h,897000,11/2/17,8.0,3040,1,2.0,226,,2000.0
3,u,945000,23/09/2017,17.3,3193,2,2.0,749,,1980.0
3,t,1962000,14/05/2016,11.2,3186,2,2.0,323,,1995.0
3,h,625000,10/9/16,9.2,3058,1,2.0,104,138.0,2014.0
1,u,380000,29/07/2017,6.3,3143,1,1.0,0,,1960.0
3,t,1000000,27/11/2016,5.9,3032,2,2.0,200,144.0,2003.0
1,u,310000,1/7/17,7.5,3040,1,1.0,0,,
2,u,840000,25/02/2017,3.3,3141,2,1.0,0,92.0,2002.0
2,u,1350000,12/8/17,2.7,3141,2,1.0,0,109.0,1930.0
5,h,715000,28/08/2016,13.5,3020,2,2.0,654,,
2,u,472000,22/07/2017,12.3,3166,1,1.0,0,70.0,1970.0
2,u,615000,17/06/2017,5.0,3182,1,1.0,1123,84.0,1920.0
4,h,646000,29/04/2017,15.0,3021,2,2.0,658,198.0,1980.0
3,h,1124000,27/06/2016,14.0,3166,1,1.0,685,,
2,t,431000,8/4/17,8.7,3032,1,1.0,0,,
2,h,1035000,8/4/17,14.6,3189,1,1.0,593,,
3,u,537000,14/05/2016,14.9,3087,1,2.0,327,95.0,1960.0
4,h,1210000,16/09/2017,6.2,3015,1,0.0,325,160.0,1983.0
2,h,680000,27/06/2016,11.2,3073,1,1.0,750,92.0,1960.0
2,t,710000,29/07/2017,7.2,3184,1,1.0,0,,1980.0
2,u,446000,16/04/2016,8.0,3040,1,1.0,0,,
3,h,887000,8/4/17,9.2,3058,1,2.0,560,,
3,h,1365000,7/5/16,8.0,3040,1,1.0,754,,
2,u,442000,10/12/16,4.2,3031,2,1.0,3448,71.0,2010.0
